Field1,Field2_text,Field2_links,Field3,Field4,Field5
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$85,410,810,312.08",$872.20
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$36,293,555,981.15",$0.93
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$21,955,845,434.55","$1,291.92"
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$11,628,122,887.79",$209.75
6,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$8,388,491,210.94",$129.05
7,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$7,892,124,470.56",$0.30
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$6,266,483,745.70",$0.34
9,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$6,050,852,887.94",$8.63
10,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$5,474,640,938.04",$1.97
11,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$4,954,707,548.84",$314.04
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$4,887,218,709.99",$617.53
13,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$3,746,207,803.07",$0.42
14,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$3,383,349,543.34",$33.76
15,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$3,211,590,269.93",$0.05
16,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$2,349,080,830.37",$4.95
17,Nano,https://coinmarketcap.com/currencies/nano/,NANO,"$2,277,642,544.01",$17.09
18,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,218,071,427.13",$1.00
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$2,060,209,567.92",$20.12
20,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$1,982,212,095.11",$26.82
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$116,026,767,355.96","$6,844.23"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$37,413,358,766.58",$379.61
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$18,964,013,318.93",$0.49
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$10,963,857,058.65",$643.03
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$6,440,317,479.29",$115.22
6,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$4,335,133,899.13",$5.66
7,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$3,908,969,399.94",$0.15
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$3,832,217,994.86",$0.21
9,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$3,074,775,180.82",$47.30
10,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$2,788,623,376.39",$175.51
11,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$2,765,070,019.62",$0.99
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$2,326,517,507.38",$291.53
13,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,286,705,393.97",$1.00
14,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$2,113,910,955.06",$0.03
15,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$1,879,113,659.05",$0.21
16,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,369,824,365.14",$13.58
17,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,286,571,421.31",$11.07
18,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$1,191,228,345.27",$13.46
19,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$1,168,107,250.81",$2.23
20,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$825,762,098.08",$8.09
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$155,114,211,194.56","$9,119.01"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$66,803,261,876.35",$673.61
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$32,944,331,385.67",$0.84
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$23,113,227,363.57","$1,351.28"
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$15,711,479,925.28",$18.95
6,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$9,299,854,943.80",$0.36
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$8,365,936,640.26",$148.49
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$8,166,624,394.63",$0.44
9,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$6,138,267,664.24",$0.09
10,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$5,516,253,998.18",$1.98
11,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$5,501,642,608.64",$84.64
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$3,850,986,885.26",$478.90
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$3,841,340,581.98",$240.26
14,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$3,643,674,462.63",$0.40
15,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$2,428,245,383.51",$4.62
16,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,425,584,057.04",$1.00
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$2,190,158,642.83",$21.58
18,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$1,959,329,366.11",$22.12
19,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$1,733,947,387.29",$16.99
20,ICON,https://coinmarketcap.com/currencies/icon/,ICX,"$1,707,614,482.63",$4.41
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$128,725,858,026.21","$7,541.45"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$57,894,365,739.77",$580.04
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$24,461,744,052.67",$0.62
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$17,210,429,777.75","$1,002.92"
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$11,003,298,493.16",$12.31
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$6,810,354,562.84",$119.91
7,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$5,768,958,933.19",$0.22
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$5,388,402,084.68",$0.29
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$5,354,959,155.48",$1.93
10,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$3,859,879,701.58",$0.06
11,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$3,604,022,178.65",$55.45
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$2,555,569,099.13",$315.35
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$2,534,807,989.73",$157.54
14,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,509,612,505.43",$1.00
15,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$2,291,584,968.31",$0.25
16,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$1,814,449,543.84",$3.45
17,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,624,036,474.27",$14.24
18,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,582,441,954.49",$15.52
19,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$1,282,421,887.02",$14.47
20,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,"$1,187,943,352.65",$0.01
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$109,366,021,621.84","$6,385.82"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$45,585,861,644.53",$453.92
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$18,113,883,122.32",$0.46
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$12,728,748,267.05",$739.42
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$7,286,573,183.75",$8.13
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$4,591,722,923.09",$80.24
7,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$3,725,316,564.22",$0.20
8,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$3,687,036,718.91",$0.14
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$2,973,402,385.05",$1.07
10,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,703,948,681.64",$1.00
11,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$2,490,873,761.44",$0.04
12,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$2,100,427,219.22",$129.77
13,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$2,036,612,529.75",$31.33
14,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,924,453,982.68",$235.70
15,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,642,662,194.55",$14.40
16,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,640,110,046.87",$15.97
17,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$1,542,294,055.05",$0.17
18,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$1,439,236,862.68",$2.61
19,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$828,091,633.18",$8.12
20,Ontology,https://coinmarketcap.com/currencies/ontology/,ONT,"$772,399,507.74",$5.11
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$131,030,119,111.07","$7,624.91"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$42,521,931,986.77",$420.75
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$17,528,975,387.30",$0.45
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$13,286,526,793.33",$769.35
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$6,575,105,306.13",$7.26
6,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$5,185,618,774.63",$0.28
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$4,489,426,223.30",$77.86
8,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$3,653,142,034.71",$0.14
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$2,567,471,933.71",$0.92
10,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,395,724,255.02",$1.00
11,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$2,146,236,038.06",$0.03
12,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$2,084,644,997.05",$128.15
13,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,942,634,611.13",$29.89
14,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,801,737,580.75",$218.98
15,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,601,201,393.55",$15.47
16,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$1,437,720,760.54",$0.16
17,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,296,473,450.85",$13.57
18,Tezos,https://coinmarketcap.com/currencies/tezos/,XTZ,"$1,102,691,929.52",$1.82
19,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$1,102,633,988.38",$1.99
20,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$889,245,764.75",$198.33
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$124,044,600,177.12","$7,193.25"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$30,035,361,896.84",$295.34
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$13,787,210,214.26",$0.35
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$10,660,637,868.95",$615.31
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$6,021,068,842.51",$6.64
6,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$4,312,652,007.43",$0.23
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$3,832,231,285.39",$65.95
8,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$2,769,714,790.38",$0.11
9,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,733,402,439.87",$1.00
10,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$2,055,378,941.02",$0.74
11,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$1,980,330,718.54",$120.97
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,830,096,211.32",$220.74
13,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,748,221,892.02",$0.03
14,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,462,786,264.42",$22.50
15,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,378,166,505.68",$13.22
16,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,086,872,405.94",$11.38
17,VeChain,https://coinmarketcap.com/currencies/vechain/,VET,"$1,007,964,090.31",$0.02
18,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$998,528,413.36",$0.11
19,Tezos,https://coinmarketcap.com/currencies/tezos/,XTZ,"$854,709,890.63",$1.41
20,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$743,768,946.26",$158.06
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$113,999,932,613.00","$6,589.63"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$23,609,705,150.83",$230.77
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$23,021,207,351.79",$0.58
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$9,226,901,765.50",$530.91
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$5,198,761,781.92",$5.74
6,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$4,855,404,042.80",$0.26
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$3,524,603,949.27",$60.21
8,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,800,599,535.15",$1.00
9,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$2,190,041,203.50",$0.08
10,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$1,884,305,011.47",$114.52
11,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$1,561,213,911.50",$0.56
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,561,107,648.71",$186.92
13,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,449,863,843.77",$0.02
14,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,213,486,280.44",$18.67
15,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,176,727,836.12",$11.21
16,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,167,816,004.86",$9.94
17,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$932,415,179.80",$0.10
18,Tezos,https://coinmarketcap.com/currencies/tezos/,XTZ,"$819,858,783.22",$1.35
19,VeChain,https://coinmarketcap.com/currencies/vechain/,VET,"$710,040,084.06",$0.01
20,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$691,491,410.94",$0.01
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$110,683,843,781.11","$6,377.78"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$20,472,135,054.36",$198.87
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$18,322,544,018.86",$0.46
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$7,393,936,330.78",$424.09
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$4,782,242,908.87",$5.28
6,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$4,216,669,654.63",$0.22
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$2,965,096,215.01",$50.27
8,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$1,837,385,346.65",$0.07
9,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$1,761,713,543.38",$0.99
10,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$1,717,818,510.13",$103.88
11,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,484,257,947.71",$0.02
12,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$1,314,472,634.85",$0.47
13,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,292,738,161.35",$153.52
14,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$1,249,031,255.15",$9.55
15,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,019,509,057.02",$15.68
16,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$956,398,294.05",$9.05
17,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$820,688,260.83",$0.09
18,Tezos,https://coinmarketcap.com/currencies/tezos/,XTZ,"$793,243,930.87",$1.31
19,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$601,939,033.44",$117.07
20,VeChain,https://coinmarketcap.com/currencies/vechain/,VET,"$580,635,036.47",$0.01
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$73,346,194,969.09","$4,214.67"
2,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$15,038,289,184.05",$0.37
3,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$12,284,117,522.01",$118.64
4,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$3,185,998,397.39",$0.17
5,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$3,010,070,869.45",$172.12
6,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$2,679,991,965.07",$2.96
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$2,039,473,601.46",$34.34
8,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$1,858,375,216.23",$1.00
9,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,BSV,"$1,634,820,282.36",$93.54
10,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$1,075,155,851.86",$0.04
11,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,004,282,932.98",$0.02
12,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$990,924,480.70",$59.65
13,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$837,114,590.91",$0.30
14,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$808,121,723.48",$95.35
15,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$702,613,316.11",$0.08
16,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$691,761,388.86",$5.29
17,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$532,049,324.86",$8.19
18,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$516,594,797.33",$4.85
19,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$430,406,463.43",$80.33
20,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,"$325,829,633.05",$18.75
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$67,098,634,180.61","$3,843.52"
2,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$14,880,496,657.82",$0.36
3,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$14,665,318,369.58",$140.82
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$2,892,087,607.88",$164.85
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$2,413,813,876.21",$2.66
6,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$2,221,377,985.38",$0.12
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$1,913,387,273.89",$31.98
8,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$1,892,772,546.78",$1.02
9,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,BSV,"$1,616,381,094.86",$92.14
10,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,303,479,300.08",$0.02
11,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$1,103,113,660.39",$0.04
12,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$1,026,158,620.95",$0.37
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$807,214,006.71",$48.37
14,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$794,641,453.82",$6.08
15,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$692,537,856.94",$81.05
16,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$595,065,819.42",$0.07
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$560,395,113.51",$5.23
18,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$511,301,110.82",$7.87
19,Maker,https://coinmarketcap.com/currencies/maker/,MKR,"$336,000,438.21",$461.39
20,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$333,412,877.94",$59.75
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$61,088,747,491.29","$3,487.95"
2,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$12,699,646,520.02",$0.31
3,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$11,263,815,609.94",$107.61
4,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$2,120,782,710.68",$2.34
5,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$2,051,265,821.58",$116.56
6,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,033,605,783.30",$1.01
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$1,978,856,938.99",$32.83
8,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,751,407,526.17",$0.03
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$1,602,022,105.56",$0.08
10,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,BSV,"$1,132,412,158.75",$64.35
11,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$1,002,816,587.79",$0.04
12,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$847,729,319.43",$6.56
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$732,932,070.76",$43.72
14,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$720,086,989.68",$0.26
15,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$580,896,463.23",$67.49
16,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$457,113,160.06",$7.03
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$426,539,328.95",$3.95
18,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$368,880,644.42",$0.04
19,USD Coin,https://coinmarketcap.com/currencies/usd-coin/,USDC,"$303,077,424.57",$1.02
20,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$282,886,027.54",$48.75
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$61,088,747,491.29","$3,487.95"
2,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$12,699,646,520.02",$0.31
3,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$11,263,815,609.94",$107.61
4,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$2,120,782,710.68",$2.34
5,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$2,051,265,821.58",$116.56
6,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,033,605,783.30",$1.01
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$1,978,856,938.99",$32.83
8,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,751,407,526.17",$0.03
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$1,602,022,105.56",$0.08
10,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,BSV,"$1,132,412,158.75",$64.35
11,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$1,002,816,587.79",$0.04
12,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$847,729,319.43",$6.56
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$732,932,070.76",$43.72
14,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$720,086,989.68",$0.26
15,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$580,896,463.23",$67.49
16,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$457,113,160.06",$7.03
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$426,539,328.95",$3.95
18,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$368,880,644.42",$0.04
19,USD Coin,https://coinmarketcap.com/currencies/usd-coin/,USDC,"$303,077,424.57",$1.02
20,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$282,886,027.54",$48.75
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$61,088,747,491.29","$3,487.95"
2,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$12,699,646,520.02",$0.31
3,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$11,263,815,609.94",$107.61
4,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$2,120,782,710.68",$2.34
5,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$2,051,265,821.58",$116.56
6,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$2,033,605,783.30",$1.01
7,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$1,978,856,938.99",$32.83
8,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$1,751,407,526.17",$0.03
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$1,602,022,105.56",$0.08
10,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,BSV,"$1,132,412,158.75",$64.35
11,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$1,002,816,587.79",$0.04
12,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,"$847,729,319.43",$6.56
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$732,932,070.76",$43.72
14,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$720,086,989.68",$0.26
15,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$580,896,463.23",$67.49
16,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$457,113,160.06",$7.03
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$426,539,328.95",$3.95
18,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$368,880,644.42",$0.04
19,USD Coin,https://coinmarketcap.com/currencies/usd-coin/,USDC,"$303,077,424.57",$1.02
20,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$282,886,027.54",$48.75
