Field1,Field2_text,Field2_links,Field3,Field4,Field5
6,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$305,662,364.17",$21.49
7,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$248,781,282.76",$2.76
8,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$158,691,521.72",$0.02
9,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$138,690,473.56",$12.61
10,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"$79,500,231.94",$0.18
11,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,"$74,195,035.55",$0.09
12,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$64,221,282.26",$64.59
13,Decred,https://coinmarketcap.com/currencies/decred/,DCR,"$58,612,622.58",$12.80
14,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$54,928,110.57",$1.00
15,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,"$53,555,166.36",$0.62
16,PIVX,https://coinmarketcap.com/currencies/pivx/,PIVX,"$47,446,847.24",$0.90
17,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$40,990,747.30",$0.17
18,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,"$38,284,683.23",$19.14
19,Round,https://coinmarketcap.com/currencies/round/,ROUND,"$38,256,033.70",$0.05
20,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$36,461,696.24",$0.00
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$23,179,566,319.22","$1,421.60"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$6,960,464,822.48",$76.30
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$2,088,016,896.81",$0.06
4,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$810,116,628.14",$15.92
5,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$640,145,947.34",$88.12
6,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$628,056,328.24",$6.89
7,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$468,480,259.13",$0.05
8,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$327,622,895.98",$22.77
9,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,"$178,266,435.56",$0.22
10,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$175,700,802.80",$15.97
11,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"$113,175,678.10",$0.25
12,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$108,911,206.93",$90.05
13,PIVX,https://coinmarketcap.com/currencies/pivx/,PIVX,"$86,956,953.38",$1.63
14,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,GNO,"$82,667,494.70",$74.84
15,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$74,926,966.28",$0.00
16,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,"$73,512,016.93",$0.75
17,Decred,https://coinmarketcap.com/currencies/decred/,DCR,"$72,707,806.00",$15.16
18,Factom,https://coinmarketcap.com/currencies/factom/,FCT,"$68,434,722.45",$7.82
19,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$62,819,586.58",$0.27
20,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$61,886,345.75",$0.58
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$39,407,683,787.88","$2,407.88"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$20,474,668,196.44",$222.24
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$12,886,394,943.94",$0.33
4,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$2,075,357,481.61",$0.23
5,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,552,075,352.22",$16.83
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$1,479,648,443.70",$28.80
7,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$997,755,034.49",$136.08
8,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$636,286,803.45",$43.70
9,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,"$590,052,764.64",$6.00
10,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$416,253,492.58",$0.04
11,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,"$379,608,808.22",$0.46
12,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,"$362,896,919.83",$0.00
13,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$356,881,584.07",$249.27
14,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$344,394,016.27",$3.44
15,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$314,238,163.72",$0.00
16,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,GNO,"$276,882,719.12",$250.67
17,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$262,478,742.60",$23.86
18,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$234,827,549.04",$1.00
19,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,"$225,006,888.34",$0.01
20,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,"$200,661,079.27",$0.08
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$39,979,999,035.38","$2,434.55"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$25,524,272,278.76",$274.60
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$9,754,509,022.15",$0.25
4,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$2,019,587,525.73",$38.99
5,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,658,928,832.97",$17.81
6,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$1,311,500,698.18",$0.15
7,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,225,650,752.12",$165.71
8,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$1,082,988,024.64",$0.39
9,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$602,665,246.81",$40.96
10,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,"$591,719,208.78",$0.23
11,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,"$546,627,248.24",$5.55
12,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,"$465,121,098.24",$0.00
13,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$450,781,757.56",$290.37
14,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$397,474,408.15",$7.95
15,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$375,507,278.71",$1.59
16,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$369,783,949.85",$3.70
17,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,"$368,986,170.50",$0.44
18,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,"$351,489,097.41",$0.01
19,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$341,049,689.26",$50.04
20,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,GNO,"$333,638,395.88",$302.05
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$44,804,640,262.61","$2,718.26"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$21,252,962,042.43",$226.77
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$6,787,003,155.92",$0.18
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$6,263,355,270.49",$380.01
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$2,249,629,488.03",$43.04
6,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$1,629,484,087.05",$0.18
7,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$1,378,639,189.63",$184.75
8,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,371,553,910.55",$14.57
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$806,674,429.24",$0.29
10,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$656,506,518.23",$44.15
11,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,"$583,193,499.25",$5.92
12,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$455,131,021.17",$1.78
13,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$393,014,764.79",$7.86
14,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,VERI,"$387,602,648.94",$193.19
15,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$383,092,037.68",$6.49
16,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$359,506,059.52",$192.35
17,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,"$338,558,379.82",$0.13
18,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$332,683,451.76",$52.44
19,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$318,484,771.45",$1.00
20,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,"$309,085,932.29",$3.56
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$80,905,019,755.27","$4,892.01"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$36,593,378,826.16",$387.74
3,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$10,300,392,100.41",$622.17
4,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$9,527,643,819.44",$0.25
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$4,537,751,797.90",$86.04
6,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$2,990,789,919.76",$0.33
7,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$2,961,049,097.38",$393.35
8,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$2,245,243,083.91",$0.81
9,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$2,121,127,416.37",$141.20
10,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$2,086,332,979.19",$21.94
11,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,600,421,905.52",$32.01
12,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$1,177,137,637.75",$11.97
13,HyperCash,https://coinmarketcap.com/currencies/hypercash/,HC,"$1,120,275,146.48",$33.34
14,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$1,077,150,506.97",$18.26
15,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$925,969,439.61",$140.97
16,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$827,794,958.43",$7.41
17,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,"$714,276,196.82",$7.25
18,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$638,112,824.74",$305.10
19,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$573,830,509.19",$5.74
20,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,"$445,595,263.71",$0.00
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$73,094,850,250.11","$4,403.74"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$28,694,713,713.82",$302.34
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$7,919,237,265.53",$0.21
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$6,909,645,336.97",$415.15
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$2,901,079,182.35",$54.54
6,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$2,397,361,020.98",$315.80
7,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$2,215,621,590.37",$0.25
8,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,786,008,071.90",$35.72
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$1,696,021,631.22",$0.61
10,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$1,413,301,278.07",$93.22
11,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$1,223,819,213.17",$12.74
12,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$965,211,778.35",$9.82
13,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$954,547,761.99",$139.33
14,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$728,028,499.60",$12.34
15,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$622,907,423.68",$5.51
16,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$608,739,278.25",$263.94
17,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$497,467,613.22",$4.97
18,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$437,028,174.87",$1.00
19,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,"$407,396,123.84",$4.13
20,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$340,369,407.06",$1.41
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$112,735,427,353.68","$6,767.31"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$27,846,805,304.42",$291.69
3,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$8,909,555,497.50",$531.83
4,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$7,479,900,414.74",$0.19
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$2,852,616,636.33",$53.18
6,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$2,079,386,546.51",$271.56
7,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$1,843,669,888.26",$250.93
8,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$1,746,084,518.43",$26.86
9,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$1,499,802,768.06",$0.17
10,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$1,311,246,513.18",$85.72
11,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$1,011,525,426.87",$0.36
12,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$995,947,074.75",$10.26
13,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$730,793,231.93",$9.93
14,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$595,965,980.23",$0.02
15,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$595,067,536.79",$6.05
16,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$562,304,183.91",$222.41
17,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$515,592,503.34",$4.51
18,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$461,972,409.80",$1.05
19,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$453,736,642.85",$0.03
20,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$452,764,392.23",$1.00
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$183,444,298,151.47","$10,975.58"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$44,823,434,733.77",$466.54
3,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$24,620,998,962.87","$1,462.68"
4,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$9,875,823,922.11",$0.26
5,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$6,158,825,887.24",$797.53
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$5,354,698,026.25",$99.00
7,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,"$5,199,081,292.89",$311.64
8,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$4,018,537,379.20",$1.45
9,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$3,405,573,919.91",$0.13
10,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$3,057,589,466.90",$31.20
11,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$2,945,134,481.04",$190.94
12,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$2,329,477,767.94",$35.84
13,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$2,156,143,471.36",$0.24
14,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$1,659,492,939.95",$3.24
15,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$1,596,583,226.76",$0.09
16,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$1,028,142,849.60",$322.74
17,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$969,571,532.19",$13.16
18,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$921,575,345.09",$335.98
19,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,"$907,892,953.87",$8.90
20,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$892,485,850.49",$7.73
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$229,119,666,553.46","$13,657.23"
2,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$92,626,460,337.91",$2.39
3,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$74,724,214,898.83",$772.64
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$41,081,666,419.53","$2,432.54"
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$18,891,950,896.38",$0.73
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$12,499,195,561.39",$229.03
7,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$11,046,973,892.62",$3.97
8,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$9,372,294,901.76",$1.04
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$8,572,449,084.13",$0.48
10,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$8,209,358,650.32","$1,053.98"
11,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$5,581,126,950.99",$358.99
12,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$5,123,540,000.92",$78.82
13,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$5,104,025,457.63",$8.84
14,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,"$4,568,448,905.39",$272.91
15,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$4,491,874,289.89",$60.88
16,Nano,https://coinmarketcap.com/currencies/nano/,NANO,"$3,940,012,342.72",$29.57
17,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$3,398,826,872.33",$0.05
18,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$3,376,083,887.63",$34.17
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$2,462,683,233.75",$21.13
20,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,"$2,387,362,680.88",$385.50
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$154,428,631,131.61","$9,170.54"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$100,935,037,771.63","$1,036.79"
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$37,547,548,155.16",$0.96
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,"$21,593,184,264.79","$1,274.35"
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,"$10,932,712,385.77",$0.42
6,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$8,413,032,534.07",$0.46
7,Neo,https://coinmarketcap.com/currencies/neo/,NEO,"$8,190,201,339.72",$126.00
8,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$7,830,151,083.16",$142.30
